Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1GT_156119_20170207_20170216_01_T2,LC81561192017038LGN00,2017/02/07,T2,1, 156, 119,156, 119,NADIR,0,2017/02/16,2017:038:06:51:54.1911200,2017:038:06:52:25.9611170,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,14.64740065,94.78308303,FINAL,OLI_TIRS_L1GT,OLI_TIRS,18021,17981,9011,8991,9011,8991,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,80°47'28.00"S,11°50'31.09"W,79°36'07.09"S,9°50'24.72"W,81°06'00.22"S,4°13'41.20"W,80°20'22.02"S,18°53'38.36"W,81°58'09.73"S,14°26'29.62"W,-80.79111,-11.84197,-79.60197,-9.8402,-81.10006,-4.22811,-80.33945,-18.89399,-81.96937,-14.44156,LC08_L1GT_156119_20170207_20170216_01_T2,LC08_L1GT_156119_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81561192017038LGN00
LC08_L1GT_156021_20170207_20170216_01_T2,LC81560212017038LGN00,2017/02/07,T2,1, 156, 021,156, 021,NADIR,-.001,2017/02/16,2017:038:06:12:48.6376440,2017:038:06:13:20.4076420,LGN,77.05,77.05,-1,4,0,0,0,9,LPGS_2.7.0,17.22495649,161.60475714,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15841,15661,7921,7831,7921,7831,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,55°54'40.39"N,72°03'13.14"E,56°59'35.02"N,71°00'09.97"E,56°29'16.12"N,74°00'12.17"E,55°18'15.88"N,70°09'32.76"E,54°48'40.57"N,73°02'18.74"E,55.91122,72.05365,56.99306,71.00277,56.48781,74.00338,55.30441,70.1591,54.81127,73.03854,LC08_L1GT_156021_20170207_20170216_01_T2,LC08_L1GT_156021_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560212017038LGN00
LC08_L1GT_156121_20170207_20170216_01_T2,LC81561212017038LGN00,2017/02/07,T2,1, 156, 121,156, 121,NADIR,0,2017/02/16,2017:038:06:52:42.1595800,2017:038:06:53:13.9295770,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,12.21179672,112.24772652,FINAL,OLI_TIRS_L1GT,OLI_TIRS,18021,17981,9011,8991,9011,8991,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,81°44'09.60"S,30°04'51.38"W,80°41'30.05"S,25°44'02.87"W,82°23'38.98"S,22°29'10.82"W,80°57'36.04"S,36°31'18.48"W,82°43'21.54"S,35°39'26.75"W,-81.736,-30.08094,-80.69168,-25.73413,-82.39416,-22.48634,-80.96001,-36.5218,-82.72265,-35.65743,LC08_L1GT_156121_20170207_20170216_01_T2,LC08_L1GT_156121_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81561212017038LGN00
LC08_L1TP_156018_20170207_20170216_01_T1,LC81560182017038LGN00,2017/02/07,T1,1, 156, 018,156, 018,NADIR,-.001,2017/02/16,2017:038:06:11:37.0068910,2017:038:06:12:08.7768880,LGN,10.4,10.4,90,4,9.03,5.457,7.195,9,LPGS_2.7.0,13.57200376,164.12057118,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16501,16341,8251,8171,8251,8171,UTM,43,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,60°05'36.82"N,74°33'15.08"E,61°11'24.04"N,73°25'40.48"E,60°38'06.72"N,76°47'01.75"E,59°30'55.94"N,72°23'41.93"E,58°58'42.74"N,75°35'49.56"E,60.09356,74.55419,61.19001,73.42791,60.6352,76.78382,59.51554,72.39498,58.97854,75.5971,LC08_L1TP_156018_20170207_20170216_01_T1,LC08_L1TP_156018_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560182017038LGN00
LC08_L1TP_003048_20170207_20170216_01_T1,LC80030482017038LGN00,2017/02/07,T1,1, 003, 048,3, 048,NADIR,-.001,2017/02/16,2017:038:14:37:58.5535320,2017:038:14:38:30.3235290,LGN,23.28,16.23,33,4,10.63,6.652,8.291,9,LPGS_2.7.0,47.46429145,138.13004635,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15541,15241,7771,7621,7771,7621,UTM,20,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,17°20'39.48"N,63°53'43.91"W,18°23'20.98"N,64°34'44.04"W,18°01'28.31"N,62°49'16.36"W,16°39'20.56"N,64°57'47.05"W,16°17'20.47"N,63°13'19.99"W,17.3443,-63.89553,18.38916,-64.5789,18.02453,-62.82121,16.65571,-64.96307,16.28902,-63.22222,LC08_L1TP_003048_20170207_20170216_01_T1,LC08_L1TP_003048_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC80030482017038LGN00
LC08_L1GT_003050_20170207_20170216_01_T2,LC80030502017038LGN00,2017/02/07,T2,1, 003, 050,3, 050,NADIR,-.001,2017/02/16,2017:038:14:38:46.3567880,2017:038:14:39:18.1267850,LGN,-1,40.92,-1,4,,,,9,LPGS_2.7.0,49.27453558,135.42862108,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15561,15261,7781,7631,7781,7631,UTM,20,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,14°27'24.66"N,64°32'32.03"W,15°30'05.47"N,65°12'58.72"W,15°08'20.44"N,63°29'05.32"W,13°46'01.81"N,65°35'39.77"W,13°24'08.39"N,63°52'35.87"W,14.45685,-64.54223,15.50152,-65.21631,15.13901,-63.48481,13.76717,-65.59438,13.40233,-63.87663,LC08_L1GT_003050_20170207_20170216_01_T2,LC08_L1GT_003050_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80030502017038LGN00
LC08_L1GT_156120_20170207_20170216_01_T2,LC81561202017038LGN00,2017/02/07,T2,1, 156, 120,156, 120,NADIR,0,2017/02/16,2017:038:06:52:18.1711140,2017:038:06:52:49.9411110,LGN,.01,.01,-1,4,,,,9,LPGS_2.7.0,13.43102441,103.01690326,FINAL,OLI_TIRS_L1GT,OLI_TIRS,18021,17981,9011,8991,9011,8991,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,81°22'10.42"S,20°28'19.49"W,80°14'14.03"S,17°21'11.02"W,81°50'49.45"S,12°38'52.33"W,80°45'21.17"S,27°25'01.99"W,82°28'20.21"S,24°31'42.28"W,-81.36956,-20.47208,-80.23723,-17.35306,-81.84707,-12.64787,-80.75588,-27.41722,-82.47228,-24.52841,LC08_L1GT_156120_20170207_20170216_01_T2,LC08_L1GT_156120_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81561202017038LGN00
LC08_L1GT_003013_20170207_20170216_01_T2,LC80030132017038LGN00,2017/02/07,T2,1, 003, 013,3, 013,NADIR,-.001,2017/02/16,2017:038:14:24:02.5705350,2017:038:14:24:34.3405320,LGN,99.98,99.98,-1,4,0,0,0,9,LPGS_2.7.0,7.55011604,169.52355543,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16801,16701,8401,8351,8401,8351,UTM,23,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,66°56'21.62"N,43°18'31.61"W,68°04'16.21"N,44°32'08.59"W,67°23'23.46"N,40°22'09.52"W,66°26'12.05"N,46°08'28.03"W,65°47'22.06"N,42°12'23.47"W,66.93934,-43.30878,68.07117,-44.53572,67.38985,-40.36931,66.43668,-46.14112,65.78946,-42.20652,LC08_L1GT_003013_20170207_20170216_01_T2,LC08_L1GT_003013_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80030132017038LGN00
LC08_L1GT_003011_20170207_20170216_01_T2,LC80030112017038LGN00,2017/02/07,T2,1, 003, 011,3, 011,NADIR,-.001,2017/02/16,2017:038:14:23:14.8223470,2017:038:14:23:46.5923440,LGN,86.1,86.1,-1,4,0,0,0,9,LPGS_2.7.0,5.09008542,172.4816197,FINAL,OLI_TIRS_L1GT,OLI_TIRS,17401,17301,8701,8651,8701,8651,UTM,24,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,69°36'23.62"N,40°06'25.88"W,70°45'28.26"N,41°20'20.00"W,70°00'00.32"N,36°44'37.54"W,69°09'04.57"N,43°20'43.76"W,68°26'17.77"N,39°01'14.45"W,69.60656,-40.10719,70.75785,-41.33889,70.00009,-36.74376,69.15127,-43.34549,68.43827,-39.02068,LC08_L1GT_003011_20170207_20170216_01_T2,LC08_L1GT_003011_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80030112017038LGN00
LC08_L1GT_003012_20170207_20170216_01_T2,LC80030122017038LGN00,2017/02/07,T2,1, 003, 012,3, 012,NADIR,-.001,2017/02/16,2017:038:14:23:38.7006770,2017:038:14:24:10.4706740,LGN,93.99,93.99,-1,4,0,0,0,9,LPGS_2.7.0,6.32076881,170.92287277,FINAL,OLI_TIRS_L1GT,OLI_TIRS,17401,17341,8701,8671,8701,8671,UTM,24,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,68°16'46.45"N,41°47'44.92"W,69°25'14.52"N,43°01'48.47"W,68°42'13.14"N,38°39'27.76"W,67°47'55.97"N,44°49'04.51"W,67°07'15.02"N,40°41'47.00"W,68.27957,-41.79581,69.4207,-43.03013,68.70365,-38.65771,67.79888,-44.81792,67.12084,-40.69639,LC08_L1GT_003012_20170207_20170216_01_T2,LC08_L1GT_003012_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80030122017038LGN00
